Date,Open,High,Low,Close,Adj Close,Volume
2022-02-08,55.060001,55.490002,54.709999,55.340000,53.544178,15219900
2022-02-09,55.820000,56.380001,55.480000,56.290001,54.463348,19136700
2022-02-10,55.240002,56.029999,54.740002,54.869999,53.089428,19730600
2022-02-11,54.869999,55.090000,53.770000,53.900002,52.150909,20132500
2022-02-14,53.410000,53.650002,52.700001,53.180000,51.454269,21868400
2022-02-15,53.720001,54.299999,53.639999,54.270000,52.508900,17678000
2022-02-16,54.130001,54.439999,53.389999,54.250000,52.489552,20388700
2022-02-17,55.500000,57.060001,55.400002,55.770000,53.960224,32884700
2022-02-18,55.459999,57.689999,55.380001,57.209999,55.353497,35626200
2022-02-22,56.930000,57.139999,55.740002,56.299999,54.473026,25188300
2022-02-23,56.610001,56.990002,54.369999,54.439999,52.673386,22033700
2022-02-24,54.070000,54.830002,53.209999,54.730000,52.953976,27739300
2022-02-25,54.980000,56.220001,54.490002,56.040001,54.221458,18963700
2022-02-28,55.410000,56.000000,54.750000,55.770000,53.960224,23868700
2022-03-01,55.529999,55.849998,54.259998,54.619999,52.847542,17799600
2022-03-02,54.770000,56.380001,54.709999,56.150002,54.327896,18660000
2022-03-03,56.740002,57.000000,55.840000,56.070000,54.250488,16794600
2022-03-04,55.669998,56.900002,55.250000,56.509998,54.676208,16729000
2022-03-07,56.310001,56.439999,55.520000,55.590000,53.786060,21350900
2022-03-08,55.700001,55.860001,54.070000,54.400002,52.634682,23642400
2022-03-09,55.639999,56.250000,55.250000,55.919998,54.105354,19150900
2022-03-10,54.400002,55.160000,53.970001,54.709999,52.934624,18550900
2022-03-11,55.290001,56.209999,54.599998,54.689999,52.915268,20330300
2022-03-14,54.730000,55.400002,54.000000,54.299999,52.537926,17977500
2022-03-15,54.419998,55.730000,54.419998,55.599998,53.795738,18829100
2022-03-16,55.930000,56.000000,54.599998,55.810001,53.998924,21821800
2022-03-17,55.490002,56.299999,55.349998,56.169998,54.347240,18830500
2022-03-18,56.029999,56.419998,55.540001,55.970001,54.153736,51807200
2022-03-21,56.060001,56.549999,55.520000,56.000000,54.182758,29174600
2022-03-22,56.360001,56.720001,56.090000,56.169998,54.347240,29287900
2022-03-23,55.900002,56.090000,54.450001,54.480000,52.712090,19742100
2022-03-24,54.669998,54.689999,53.680000,54.500000,52.731434,20551500
2022-03-25,54.610001,55.180000,54.400002,54.970001,53.186184,18090600
2022-03-28,54.799999,55.160000,54.419998,55.139999,53.350666,17164600
2022-03-29,55.669998,56.310001,55.040001,55.669998,53.863468,20036500
2022-03-30,55.750000,56.939999,55.590000,56.049999,54.231136,16125400
2022-03-31,56.040001,56.880001,55.720001,55.759998,53.950550,27587700
2022-04-01,56.169998,56.189999,54.889999,55.660000,53.853798,17465100
2022-04-04,55.459999,56.119999,54.990002,55.869999,54.056976,19629200
2022-04-05,55.200001,55.590000,54.669998,54.919998,53.501694,16063600
2022-04-06,54.689999,54.759998,53.840000,54.369999,52.965900,19644100
2022-04-07,54.430000,54.849998,53.740002,54.630001,53.219189,15739000
2022-04-08,54.840000,54.910000,54.009998,54.279999,52.878223,18148200
2022-04-11,53.919998,53.950001,52.790001,52.880001,51.514381,20992100
2022-04-12,51.700001,52.950001,51.480000,51.820000,50.481754,25254200
2022-04-13,51.840000,52.360001,51.410000,52.150002,50.803234,17004600
2022-04-14,52.080002,52.380001,51.119999,51.169998,49.848541,18024800
2022-04-18,50.880001,51.560001,50.799999,51.110001,49.790092,13990700
2022-04-19,51.000000,51.939999,50.919998,51.830002,50.491501,15490900
2022-04-20,52.220001,53.669998,52.150002,53.020000,51.650764,19526200
2022-04-21,53.340000,53.830002,52.730000,52.779999,51.416962,17147300
2022-04-22,52.919998,52.959999,51.290001,51.360001,50.033634,17693000
2022-04-25,51.450001,51.980000,50.540001,51.939999,50.598660,18677000
2022-04-26,51.880001,51.939999,50.869999,50.900002,49.585518,19238300
2022-04-27,50.910000,51.110001,49.250000,49.310001,48.036575,33668600
2022-04-28,49.529999,50.779999,49.209999,50.630001,49.322491,20170700
2022-04-29,50.509998,50.639999,48.869999,48.980000,47.715096,20281400
2022-05-02,49.340000,49.910000,48.930000,49.860001,48.572376,22499200
2022-05-03,49.770000,50.360001,49.529999,49.919998,48.630821,15828200
2022-05-04,50.029999,51.660000,49.669998,51.580002,50.247959,23942300
2022-05-05,51.150002,51.209999,49.160000,49.610001,48.328831,24846500
